CameraCaptureEvent,On_Drake_Harddrive,In_Two_Locations,Uploaded_to_Kaltura,FilesFormated_For_Zooniverse,Uploaded_Zooniverse,CameraSetting,TimeDate_Correct,Event_Duration_Days,n_TriggerEvents,n_Pictures,n_Videos,n_MediaFiles,DataPage,Notes
RWH_CC_17Mar2022,Yes,Yes,n/a,Yes,No,photo,Yes,105,7811,15621,0,15621,37,
RWH_CC_27Jun2022,Yes,Yes,n/a,Yes,No,photo,,101,9955,19910,0,19910,,
RWH_CC_29Sep2022,Yes,,n/a,Yes,No,photo,,95,113,226,0,226,,
RWP_CC_17Mar2022,Yes,Yes,n/a,Yes,No,photo,Yes,105,47,94,0,94,38,
RWP_CC_27Jun2022,Yes,Yes,n/a,Yes,No,photo,,103,1016,2032,0,2032,,
RWP_CC_28Sep2022,Yes,,n/a,Yes,No,photo,,93,93,186,0,186,,
SB_CC_19Jan2021,Yes,Yes,No,,No,photo + video,Yes,,194,390,194,584,32,
SGP_CC_11Jun2022,Yes,Yes,n/a,Yes,No,photo,18 min fast,86,11564,23128,0,23128,,
SGP_CC_17Mar2022,Yes,Yes,n/a,Yes,No,photo,Yes,91,142,284,0,284,38,
TC_CC_06Jun2021,Yes,Yes,n/a,Yes,No,photo,,,5877,11754,0,11754,,
WH_CC_14Jul2021,Yes,Yes,n/a,Yes,No,photo,Yes,116,67,134,0,134,24,
WH_CC_15Mar2022,Yes,Yes,n/a,Yes,No,photo,Yes,89,115,230,0,230,37,
WH_CC_20Jan2021,Yes,Yes,n/a,,No,photo + video,Yes,34,,973,228,1201,29,
WH_CC_25Jun2022,Yes,Yes,n/a,Yes,No,photo,,101,392,784,0,784,,
WH_CC_30Sep2022,Yes,,n/a,Yes,No,photo,,98,1638,3276,0,3276,,
ZHQ_CC_13Jul2021,Yes,Yes,n/a,,No,photo + video,,,,784,390,1174,,
ZHQ_CC_15Mar2022,Yes,Yes,n/a,Yes,No,photo,Yes,103,125,250,0,250,36,
ZHQ_CC_17Feb2021,Yes,Yes,n/a,,No,photo + video,,,38,77,38,115,3,
ZL01_CC_02Aug2021,Yes,Yes,2022-04-09,Yes,No,video,,,,0,9,9,,
ZL01_CC_10Dec2020,Yes,Yes,No,,No,photo + video,,,,46,22,68,,
ZL01_CC_10May2021,Yes,Yes,2022-04-09,Yes,No,video,Yes,82,8,3,8,11,21,
ZL01_CC_11Nov2021,Yes,Yes,2022-04-16,Yes,No,video,Yes,100,24,0,24,24,39,
ZL01_CC_17Mar2022,Yes,Yes,No,Yes,No,video,Yes,125,11,0,11,11,37,
ZL01_CC_19Jan2021,Yes,Yes,No,,No,photo + video,Yes,39,8,16,8,24,21,
ZL02_CC_10Dec2020,Yes,Yes,No,Yes,No,photo,Yes,35,1,2,0,2,13,PilotData
ZL02_CC_10May2021,Yes,Yes,2022-04-20,Yes,No,video,Yes,82,47,0,47,47,13,
ZL02_CC_11Nov2021,Yes,Yes,2022-05-17,Yes,No,video,Yes,100,92,0,92,92,39,contains subfolder that appears to be duplicate of files in main folder
ZL02_CC_16Feb2021,Yes,Yes,No,,No,photo + video,Yes,27,4,8,3,11,13,
ZL02_CC_17Mar2022,Yes,Yes,No,Yes,No,video,Yes,125,283,0,283,283,37,
ZL02_CC_19Jan2021,Yes,Yes,No,,No,photo + video,Yes,39,9,18,8,24,13,
ZL02_CC_29Sep2022,Yes,,No,Yes,No,video,,94,5,0,5,5,,
ZL03_CC_02Aug2021,Yes,Yes,2022-04-09,Yes,No,video,,,,0,9,9,,
ZL03_CC_10Dec2020,Yes,Yes,No,,No,photo + video,Yes,35,4,8,4,12,28,
ZL03_CC_10May2021,Yes,Yes,2022-04-09,Yes,No,video,Yes,82,5,2,5,7,28,
ZL03_CC_11Nov2021,Yes,Yes,2022-04-14,Yes,No,video,Yes,100,17,0,17,17,39,
ZL03_CC_17Mar2022,Yes,Yes,No,Yes,No,video,Yes,125,32,0,32,32,37,
ZL03_CC_19Jan2021,Yes,Yes,No,,No,photo + video,Yes,39,12,24,11,35,28,
ZL03_CC_29Sep2022,Yes,,No,Yes,No,video,,94,602,0,602,602,,
ZL04_CC_10May2021,Yes,Yes,No,,No,photo + video,Yes,,2,4,2,6,34,
ZL04_CC_19Jan2021,Yes,Yes,No,,No,photo + video,Yes,,2,4,1,5,34,
ZL06_CC_02Aug2021,Yes,Yes,2022-04-09,Yes,No,video,Yes,83,6,0,6,6,3,
ZL06_CC_10Dec2020,Yes,Yes,No,,No,photo + video,Yes,36,37,73,26,99,12,not a consistent pattern of photos and videos
ZL06_CC_10May2021,Yes,Yes,2022-04-09,Yes,No,video,Yes,82,5,0,5,5,12,
ZL06_CC_11Nov2021,Yes,Yes,2022-04-09,Yes,No,video,Yes,100,12,0,12,12,39,
ZL06_CC_16Feb2021,Yes,Yes,n/a,Yes,No,photo,Yes,27,6,12,0,12,12,
ZL06_CC_17Mar2022,Yes,Yes,No,Yes,No,video,Yes,125,9,0,9,9,37,
ZL06_CC_19Jan2021,Yes,Yes,No,,No,photo + video,Yes,39,41,84,41,125,12,
ZL06_CC_29Sep2022,Yes,,No,Yes,No,video,,94,17,0,17,17,,
ZL07_CC_10May2021,Yes,Yes,2022-04-09,Yes,No,video,Yes,,12,0,12,12,27,
ZL07_CC_16Feb2021,Yes,Yes,No,,No,photo + video,Yes,,23,46,22,68,27,
